0,1,2,3,4,5,6,7,8,9,10,11,12,13
4,13,3,51,17,29,25,22,6,7,52,38,60,55
13,3,51,17,29,25,22,6,7,52,38,60,55,42
3,51,17,29,25,22,6,7,52,38,60,55,42,10
51,17,29,25,22,6,7,52,38,60,55,42,10,43
17,29,25,22,6,7,52,38,60,55,42,10,43,45
29,25,22,6,7,52,38,60,55,42,10,43,45,54
25,22,6,7,52,38,60,55,42,10,43,45,54,16
22,6,7,52,38,60,55,42,10,43,45,54,16,37
6,7,52,38,60,55,42,10,43,45,54,16,37,45
7,52,38,60,55,42,10,43,45,54,16,37,45,52
52,38,60,55,42,10,43,45,54,16,37,45,52,56
38,60,55,42,10,43,45,54,16,37,45,52,56,12
60,55,42,10,43,45,54,16,37,45,52,56,12,3
55,42,10,43,45,54,16,37,45,52,56,12,3,12
42,10,43,45,54,16,37,45,52,56,12,3,12,46
10,43,45,54,16,37,45,52,56,12,3,12,46,5
43,45,54,16,37,45,52,56,12,3,12,46,5,47
45,54,16,37,45,52,56,12,3,12,46,5,47,8
54,16,37,45,52,56,12,3,12,46,5,47,8,38
16,37,45,52,56,12,3,12,46,5,47,8,38,26
37,45,52,56,12,3,12,46,5,47,8,38,26,35
45,52,56,12,3,12,46,5,47,8,38,26,35,39
52,56,12,3,12,46,5,47,8,38,26,35,39,12
56,12,3,12,46,5,47,8,38,26,35,39,12,47
12,3,12,46,5,47,8,38,26,35,39,12,47,24
3,12,46,5,47,8,38,26,35,39,12,47,24,36
12,46,5,47,8,38,26,35,39,12,47,24,36,19
46,5,47,8,38,26,35,39,12,47,24,36,19,33
5,47,8,38,26,35,39,12,47,24,36,19,33,7
47,8,38,26,35,39,12,47,24,36,19,33,7,11
8,38,26,35,39,12,47,24,36,19,33,7,11,2
38,26,35,39,12,47,24,36,19,33,7,11,2,58
26,35,39,12,47,24,36,19,33,7,11,2,58,25
35,39,12,47,24,36,19,33,7,11,2,58,25,6
39,12,47,24,36,19,33,7,11,2,58,25,6,26
12,47,24,36,19,33,7,11,2,58,25,6,26,17
47,24,36,19,33,7,11,2,58,25,6,26,17,47
24,36,19,33,7,11,2,58,25,6,26,17,47,38
36,19,33,7,11,2,58,25,6,26,17,47,38,18
19,33,7,11,2,58,25,6,26,17,47,38,18,14
33,7,11,2,58,25,6,26,17,47,38,18,14,29
7,11,2,58,25,6,26,17,47,38,18,14,29,44
11,2,58,25,6,26,17,47,38,18,14,29,44,30
2,58,25,6,26,17,47,38,18,14,29,44,30,7
58,25,6,26,17,47,38,18,14,29,44,30,7,37
25,6,26,17,47,38,18,14,29,44,30,7,37,55
6,26,17,47,38,18,14,29,44,30,7,37,55,44
26,17,47,38,18,14,29,44,30,7,37,55,44,53
17,47,38,18,14,29,44,30,7,37,55,44,53,32
47,38,18,14,29,44,30,7,37,55,44,53,32,46
38,18,14,29,44,30,7,37,55,44,53,32,46,1
18,14,29,44,30,7,37,55,44,53,32,46,1,60
14,29,44,30,7,37,55,44,53,32,46,1,60,24
29,44,30,7,37,55,44,53,32,46,1,60,24,23
44,30,7,37,55,44,53,32,46,1,60,24,23,35
30,7,37,55,44,53,32,46,1,60,24,23,35,17
7,37,55,44,53,32,46,1,60,24,23,35,17,3
37,55,44,53,32,46,1,60,24,23,35,17,3,48
55,44,53,32,46,1,60,24,23,35,17,3,48,25
44,53,32,46,1,60,24,23,35,17,3,48,25,56
53,32,46,1,60,24,23,35,17,3,48,25,56,47
32,46,1,60,24,23,35,17,3,48,25,56,47,5
46,1,60,24,23,35,17,3,48,25,56,47,5,34
1,60,24,23,35,17,3,48,25,56,47,5,34,28
60,24,23,35,17,3,48,25,56,47,5,34,28,2
24,23,35,17,3,48,25,56,47,5,34,28,2,50
23,35,17,3,48,25,56,47,5,34,28,2,50,33
35,17,3,48,25,56,47,5,34,28,2,50,33,7
17,3,48,25,56,47,5,34,28,2,50,33,7,43
3,48,25,56,47,5,34,28,2,50,33,7,43,35
48,25,56,47,5,34,28,2,50,33,7,43,35,13
25,56,47,5,34,28,2,50,33,7,43,35,13,55
56,47,5,34,28,2,50,33,7,43,35,13,55,57
47,5,34,28,2,50,33,7,43,35,13,55,57,44
5,34,28,2,50,33,7,43,35,13,55,57,44,21
34,28,2,50,33,7,43,35,13,55,57,44,21,16
28,2,50,33,7,43,35,13,55,57,44,21,16,58
2,50,33,7,43,35,13,55,57,44,21,16,58,6
50,33,7,43,35,13,55,57,44,21,16,58,6,23
33,7,43,35,13,55,57,44,21,16,58,6,23,24
7,43,35,13,55,57,44,21,16,58,6,23,24,42
43,35,13,55,57,44,21,16,58,6,23,24,42,25
35,13,55,57,44,21,16,58,6,23,24,42,25,17
13,55,57,44,21,16,58,6,23,24,42,25,17,47
55,57,44,21,16,58,6,23,24,42,25,17,47,58
57,44,21,16,58,6,23,24,42,25,17,47,58,15
44,21,16,58,6,23,24,42,25,17,47,58,15,59
21,16,58,6,23,24,42,25,17,47,58,15,59,30
16,58,6,23,24,42,25,17,47,58,15,59,30,38
58,6,23,24,42,25,17,47,58,15,59,30,38,46
6,23,24,42,25,17,47,58,15,59,30,38,46,42
23,24,42,25,17,47,58,15,59,30,38,46,42,13
24,42,25,17,47,58,15,59,30,38,46,42,13,3
42,25,17,47,58,15,59,30,38,46,42,13,3,46
25,17,47,58,15,59,30,38,46,42,13,3,46,38
17,47,58,15,59,30,38,46,42,13,3,46,38,16
47,58,15,59,30,38,46,42,13,3,46,38,16,5
58,15,59,30,38,46,42,13,3,46,38,16,5,21
15,59,30,38,46,42,13,3,46,38,16,5,21,9
59,30,38,46,42,13,3,46,38,16,5,21,9,56
30,38,46,42,13,3,46,38,16,5,21,9,56,18
38,46,42,13,3,46,38,16,5,21,9,56,18,36
46,42,13,3,46,38,16,5,21,9,56,18,36,29
42,13,3,46,38,16,5,21,9,56,18,36,29,2
13,3,46,38,16,5,21,9,56,18,36,29,2,14
3,46,38,16,5,21,9,56,18,36,29,2,14,38
46,38,16,5,21,9,56,18,36,29,2,14,38,23
38,16,5,21,9,56,18,36,29,2,14,38,23,52
16,5,21,9,56,18,36,29,2,14,38,23,52,51
5,21,9,56,18,36,29,2,14,38,23,52,51,35
21,9,56,18,36,29,2,14,38,23,52,51,35,59
9,56,18,36,29,2,14,38,23,52,51,35,59,7
56,18,36,29,2,14,38,23,52,51,35,59,7,20
18,36,29,2,14,38,23,52,51,35,59,7,20,2
36,29,2,14,38,23,52,51,35,59,7,20,2,27
29,2,14,38,23,52,51,35,59,7,20,2,27,17
2,14,38,23,52,51,35,59,7,20,2,27,17,16
14,38,23,52,51,35,59,7,20,2,27,17,16,34
38,23,52,51,35,59,7,20,2,27,17,16,34,7
23,52,51,35,59,7,20,2,27,17,16,34,7,59
52,51,35,59,7,20,2,27,17,16,34,7,59,30
51,35,59,7,20,2,27,17,16,34,7,59,30,49
35,59,7,20,2,27,17,16,34,7,59,30,49,27
59,7,20,2,27,17,16,34,7,59,30,49,27,37
7,20,2,27,17,16,34,7,59,30,49,27,37,12
20,2,27,17,16,34,7,59,30,49,27,37,12,44
2,27,17,16,34,7,59,30,49,27,37,12,44,28
27,17,16,34,7,59,30,49,27,37,12,44,28,13
17,16,34,7,59,30,49,27,37,12,44,28,13,34
16,34,7,59,30,49,27,37,12,44,28,13,34,2
34,7,59,30,49,27,37,12,44,28,13,34,2,8
7,59,30,49,27,37,12,44,28,13,34,2,8,54
59,30,49,27,37,12,44,28,13,34,2,8,54,38
30,49,27,37,12,44,28,13,34,2,8,54,38,14
49,27,37,12,44,28,13,34,2,8,54,38,14,21
27,37,12,44,28,13,34,2,8,54,38,14,21,15
37,12,44,28,13,34,2,8,54,38,14,21,15,3
12,44,28,13,34,2,8,54,38,14,21,15,3,20
44,28,13,34,2,8,54,38,14,21,15,3,20,59
28,13,34,2,8,54,38,14,21,15,3,20,59,8
13,34,2,8,54,38,14,21,15,3,20,59,8,18
34,2,8,54,38,14,21,15,3,20,59,8,18,29
2,8,54,38,14,21,15,3,20,59,8,18,29,42
8,54,38,14,21,15,3,20,59,8,18,29,42,44
54,38,14,21,15,3,20,59,8,18,29,42,44,52
38,14,21,15,3,20,59,8,18,29,42,44,52,13
14,21,15,3,20,59,8,18,29,42,44,52,13,6
21,15,3,20,59,8,18,29,42,44,52,13,6,24
15,3,20,59,8,18,29,42,44,52,13,6,24,8
3,20,59,8,18,29,42,44,52,13,6,24,8,31
20,59,8,18,29,42,44,52,13,6,24,8,31,26
59,8,18,29,42,44,52,13,6,24,8,31,26,9
8,18,29,42,44,52,13,6,24,8,31,26,9,41
18,29,42,44,52,13,6,24,8,31,26,9,41,49
29,42,44,52,13,6,24,8,31,26,9,41,49,25
42,44,52,13,6,24,8,31,26,9,41,49,25,40
44,52,13,6,24,8,31,26,9,41,49,25,40,8
52,13,6,24,8,31,26,9,41,49,25,40,8,54
13,6,24,8,31,26,9,41,49,25,40,8,54,50
6,24,8,31,26,9,41,49,25,40,8,54,50,60
24,8,31,26,9,41,49,25,40,8,54,50,60,23
8,31,26,9,41,49,25,40,8,54,50,60,23,12
31,26,9,41,49,25,40,8,54,50,60,23,12,20
26,9,41,49,25,40,8,54,50,60,23,12,20,1
9,41,49,25,40,8,54,50,60,23,12,20,1,5
41,49,25,40,8,54,50,60,23,12,20,1,5,32
49,25,40,8,54,50,60,23,12,20,1,5,32,25
25,40,8,54,50,60,23,12,20,1,5,32,25,34
40,8,54,50,60,23,12,20,1,5,32,25,34,15
8,54,50,60,23,12,20,1,5,32,25,34,15,26
54,50,60,23,12,20,1,5,32,25,34,15,26,12
50,60,23,12,20,1,5,32,25,34,15,26,12,33
60,23,12,20,1,5,32,25,34,15,26,12,33,48
23,12,20,1,5,32,25,34,15,26,12,33,48,13
12,20,1,5,32,25,34,15,26,12,33,48,13,47
20,1,5,32,25,34,15,26,12,33,48,13,47,14
1,5,32,25,34,15,26,12,33,48,13,47,14,27
5,32,25,34,15,26,12,33,48,13,47,14,27,52
32,25,34,15,26,12,33,48,13,47,14,27,52,17
25,34,15,26,12,33,48,13,47,14,27,52,17,12
34,15,26,12,33,48,13,47,14,27,52,17,12,53
15,26,12,33,48,13,47,14,27,52,17,12,53,13
26,12,33,48,13,47,14,27,52,17,12,53,13,3
12,33,48,13,47,14,27,52,17,12,53,13,3,1
33,48,13,47,14,27,52,17,12,53,13,3,1,12
48,13,47,14,27,52,17,12,53,13,3,1,12,59
13,47,14,27,52,17,12,53,13,3,1,12,59,56
47,14,27,52,17,12,53,13,3,1,12,59,56,58
14,27,52,17,12,53,13,3,1,12,59,56,58,34
27,52,17,12,53,13,3,1,12,59,56,58,34,53
52,17,12,53,13,3,1,12,59,56,58,34,53,25
17,12,53,13,3,1,12,59,56,58,34,53,25,45
12,53,13,3,1,12,59,56,58,34,53,25,45,40
53,13,3,1,12,59,56,58,34,53,25,45,40,17
13,3,1,12,59,56,58,34,53,25,45,40,17,23
3,1,12,59,56,58,34,53,25,45,40,17,23,43
1,12,59,56,58,34,53,25,45,40,17,23,43,27
12,59,56,58,34,53,25,45,40,17,23,43,27,58
59,56,58,34,53,25,45,40,17,23,43,27,58,53
56,58,34,53,25,45,40,17,23,43,27,58,53,16
58,34,53,25,45,40,17,23,43,27,58,53,16,45
34,53,25,45,40,17,23,43,27,58,53,16,45,43
53,25,45,40,17,23,43,27,58,53,16,45,43,33
25,45,40,17,23,43,27,58,53,16,45,43,33,27
45,40,17,23,43,27,58,53,16,45,43,33,27,19
40,17,23,43,27,58,53,16,45,43,33,27,19,48
17,23,43,27,58,53,16,45,43,33,27,19,48,43
23,43,27,58,53,16,45,43,33,27,19,48,43,1
43,27,58,53,16,45,43,33,27,19,48,43,1,34
27,58,53,16,45,43,33,27,19,48,43,1,34,44
58,53,16,45,43,33,27,19,48,43,1,34,44,57
53,16,45,43,33,27,19,48,43,1,34,44,57,25
16,45,43,33,27,19,48,43,1,34,44,57,25,45
45,43,33,27,19,48,43,1,34,44,57,25,45,28
43,33,27,19,48,43,1,34,44,57,25,45,28,51
33,27,19,48,43,1,34,44,57,25,45,28,51,26
27,19,48,43,1,34,44,57,25,45,28,51,26,2
19,48,43,1,34,44,57,25,45,28,51,26,2,24
48,43,1,34,44,57,25,45,28,51,26,2,24,34
43,1,34,44,57,25,45,28,51,26,2,24,34,50
1,34,44,57,25,45,28,51,26,2,24,34,50,38
34,44,57,25,45,28,51,26,2,24,34,50,38,37
44,57,25,45,28,51,26,2,24,34,50,38,37,36
57,25,45,28,51,26,2,24,34,50,38,37,36,49
25,45,28,51,26,2,24,34,50,38,37,36,49,37
45,28,51,26,2,24,34,50,38,37,36,49,37,35
28,51,26,2,24,34,50,38,37,36,49,37,35,24
51,26,2,24,34,50,38,37,36,49,37,35,24,21
26,2,24,34,50,38,37,36,49,37,35,24,21,33
2,24,34,50,38,37,36,49,37,35,24,21,33,18
24,34,50,38,37,36,49,37,35,24,21,33,18,23
34,50,38,37,36,49,37,35,24,21,33,18,23,8
50,38,37,36,49,37,35,24,21,33,18,23,8,17
38,37,36,49,37,35,24,21,33,18,23,8,17,53
37,36,49,37,35,24,21,33,18,23,8,17,53,29
36,49,37,35,24,21,33,18,23,8,17,53,29,54
49,37,35,24,21,33,18,23,8,17,53,29,54,40
37,35,24,21,33,18,23,8,17,53,29,54,40,57
35,24,21,33,18,23,8,17,53,29,54,40,57,49
24,21,33,18,23,8,17,53,29,54,40,57,49,21
21,33,18,23,8,17,53,29,54,40,57,49,21,22
33,18,23,8,17,53,29,54,40,57,49,21,22,32
18,23,8,17,53,29,54,40,57,49,21,22,32,46
23,8,17,53,29,54,40,57,49,21,22,32,46,12
8,17,53,29,54,40,57,49,21,22,32,46,12,25
17,53,29,54,40,57,49,21,22,32,46,12,25,31
53,29,54,40,57,49,21,22,32,46,12,25,31,43
29,54,40,57,49,21,22,32,46,12,25,31,43,25
54,40,57,49,21,22,32,46,12,25,31,43,25,2
40,57,49,21,22,32,46,12,25,31,43,25,2,13
57,49,21,22,32,46,12,25,31,43,25,2,13,31
49,21,22,32,46,12,25,31,43,25,2,13,31,17
21,22,32,46,12,25,31,43,25,2,13,31,17,51
22,32,46,12,25,31,43,25,2,13,31,17,51,40
32,46,12,25,31,43,25,2,13,31,17,51,40,37
46,12,25,31,43,25,2,13,31,17,51,40,37,23
12,25,31,43,25,2,13,31,17,51,40,37,23,48
25,31,43,25,2,13,31,17,51,40,37,23,48,28
31,43,25,2,13,31,17,51,40,37,23,48,28,47
43,25,2,13,31,17,51,40,37,23,48,28,47,41
25,2,13,31,17,51,40,37,23,48,28,47,41,10
2,13,31,17,51,40,37,23,48,28,47,41,10,60
13,31,17,51,40,37,23,48,28,47,41,10,60,54
31,17,51,40,37,23,48,28,47,41,10,60,54,23
17,51,40,37,23,48,28,47,41,10,60,54,23,51
51,40,37,23,48,28,47,41,10,60,54,23,51,36
40,37,23,48,28,47,41,10,60,54,23,51,36,53
37,23,48,28,47,41,10,60,54,23,51,36,53,29
23,48,28,47,41,10,60,54,23,51,36,53,29,18
48,28,47,41,10,60,54,23,51,36,53,29,18,15
28,47,41,10,60,54,23,51,36,53,29,18,15,24
47,41,10,60,54,23,51,36,53,29,18,15,24,16
41,10,60,54,23,51,36,53,29,18,15,24,16,4
10,60,54,23,51,36,53,29,18,15,24,16,4,42
