date,aapl,amzn,goog,tsla
20201217,128.699997,3236.080078,1747.900024,655.900024
20201218,126.660004,3201.649902,1731.010010,695.000000
20201221,128.229996,3206.179932,1739.369995,649.859985
20201222,131.880005,3206.520020,1723.500000,640.340027
20201223,130.960007,3185.270020,1732.380005,645.979980
20201224,131.970001,3172.689941,1738.849976,661.770020
20201228,136.690002,3283.959961,1776.089966,663.690002
20201229,134.869995,3322.000000,1758.719971,665.989990
20201230,133.720001,3285.850098,1739.520020,694.780029
20201231,132.690002,3256.929932,1751.880005,705.669983
20210104,129.410004,3186.629883,1728.239990,729.770020
20210105,131.009995,3218.510010,1740.920044,735.109985
20210106,126.599998,3138.379883,1735.290039,755.979980
20210107,130.919998,3162.159912,1787.250000,816.039978
20210108,132.050003,3182.699951,1807.209961,880.020020
20210111,128.979996,3114.209961,1766.719971,811.190002
20210112,128.800003,3120.830078,1746.550049,849.440002
20210113,130.889999,3165.889893,1754.400024,854.409973
20210114,128.910004,3127.469971,1740.180054,845.000000
20210115,127.139999,3104.250000,1736.189941,826.159973
20210119,127.830002,3120.760010,1790.859985,844.549988
20210120,132.029999,3263.379883,1886.900024,850.450012
20210121,136.869995,3306.989990,1891.250000,844.989990
20210122,139.070007,3292.229980,1901.050049,846.640015
20210125,142.919998,3294.000000,1899.400024,880.799988
20210126,143.160004,3326.129883,1917.239990,883.090027
20210127,142.059998,3232.580078,1830.790039,864.159973
20210128,137.089996,3237.620117,1863.109985,835.429993
20210129,131.960007,3206.199951,1835.739990,793.530029
20210201,134.139999,3342.879883,1901.349976,839.809998
20210202,134.990005,3380.000000,1927.510010,872.789978
20210203,133.940002,3312.530029,2070.070068,854.690002
20210204,137.389999,3331.000000,2062.370117,849.989990
20210205,136.759995,3352.149902,2098.000000,852.229980
20210208,136.910004,3322.939941,2092.909912,863.419983
20210209,136.009995,3305.000000,2083.510010,849.460022
20210210,135.389999,3286.580078,2095.379883,804.820007
20210211,135.130005,3262.129883,2095.889893,811.659973
20210212,135.369995,3277.709961,2104.110107,816.119995
20210216,133.190002,3268.949951,2121.899902,796.219971
20210217,130.839996,3308.639893,2128.310059,798.150024
20210218,129.710007,3328.229980,2117.199951,787.380005
20210219,129.869995,3249.899902,2101.139893,781.299988
20210222,126.000000,3180.739990,2064.879883,714.500000
20210223,125.860001,3194.500000,2070.860107,698.840027
20210224,125.349998,3159.530029,2095.169922,742.020020
20210225,120.989998,3057.159912,2031.359985,682.219971
20210226,121.260002,3092.929932,2036.859985,675.500000
20210301,127.790001,3146.139893,2081.510010,718.429993
20210302,125.120003,3094.530029,2075.840088,686.440002
20210303,122.059998,3005.000000,2026.709961,653.200012
20210304,120.129997,2977.570068,2049.090088,621.440002
20210305,121.419998,3000.459961,2108.540039,597.950012
20210308,116.360001,2951.949951,2024.170044,563.000000
20210309,121.089996,3062.850098,2052.699951,673.580017
20210310,119.980003,3057.639893,2055.030029,668.059998
20210311,121.959999,3113.590088,2114.770020,699.599976
20210312,121.029999,3089.489990,2061.919922,693.729980
20210315,123.989998,3081.679932,2066.489990,707.940002
20210316,125.570000,3091.860107,2092.520020,676.880005
20210317,124.760002,3135.729980,2091.080078,701.809998
20210318,120.529999,3027.989990,2036.219971,653.159973
20210319,119.989998,3074.959961,2043.199951,654.869995
20210322,123.389999,3110.870117,2038.589966,670.000000
20210323,122.540001,3137.500000,2052.959961,662.159973
20210324,120.089996,3087.070068,2045.060059,630.270020
20210325,120.589996,3046.260010,2044.359985,640.390015
20210326,121.209999,3052.030029,2035.550049,618.710022
20210329,121.389999,3075.729980,2055.949951,611.289978
20210330,119.900002,3055.290039,2055.540039,635.619995
